Position,Team,GamesPlayed,Win,Draw,Loss,GoalsFor,GoalsAgainst,GoalsDifference,Points
1,0,7,6,0,1,15,8,7,18
2,0,7,5,0,2,16,8,8,15
3,0,7,4,2,1,8,7,1,14
4,0,7,4,1,2,6,5,1,13
5,0,5,3,1,1,13,4,9,10
6,0,5,3,1,1,10,4,6,10
7,0,5,3,0,2,12,6,6,9
8,0,5,3,0,2,8,3,5,9
9,0,4,2,0,2,5,4,1,6
10,0,4,2,0,2,5,7,2,6
11,0,4,2,0,2,4,6,2,6
12,0,4,2,0,2,5,9,4,6
13,0,4,1,2,1,3,4,1,5
14,0,4,1,1,2,9,3,6,4
15,0,4,1,1,2,3,5,2,4
16,0,4,1,1,2,5,8,3,4
17,0,3,1,1,1,6,5,1,4
18,0,3,1,1,1,4,3,1,4
19,0,3,1,1,1,4,4,0,4
20,0,3,1,1,1,2,2,0,4
21,0,3,1,1,1,1,1,0,4
22,0,3,1,1,1,2,3,1,4
23,0,3,1,1,1,1,2,1,4
24,0,3,1,0,2,5,7,2,3
25,0,3,1,0,2,3,5,2,3
26,0,3,1,0,2,4,7,3,3
27,0,3,1,0,2,3,11,8,3
28,0,3,0,1,2,1,3,2,1
29,0,3,0,1,2,5,8,3,1
30,0,3,0,1,2,1,6,5,1
31,0,3,0,0,3,2,7,5,0
32,0,3,0,0,3,1,7,6,0
